ShiftDate,ActualDate,Shift,ProdCat,CycleTime,BCT,Line,Model,PlanMP,Leader,Good,Reject,GrossOutput,StartTime,StopTime,GrossAvailability,ScheduleTimeMin,ScheduledBreak,MaterialShort,DefectiveComponent,COOnline,PredictiveMaintenance,EquipmentDT,ProcessQualityDT,OtherDT,TotalDowntime,NetOperatingTime,NetOutput,IdealOperatingTime,Availability,Performance,Quality,ActualOEE,TargetOEE,ActualPPH,SORemark,ProdRemark,AVLoss,PFLoss,QLoss,
2023-12-04,12/4/2023 8:09:38 AM,Day,JBJ/JTE,14.48,14.47,Line7,JTE508,5.0,RIZMAN,200,0,200,12/4/2023 8:09:38 AM,12/4/2023 9:13:46 AM,1.07,64.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.20,266.11,48.230000,1.000000,0.752500,1.000000,0.752500,0.810000,37.44,176328-0,,,,,
2023-12-04,12/4/2023 11:28:23 AM,Day,JBJ/JTE,12.06,12.06,Line8,JTE1061,6.0,RIZMAN,669,0,669,12/4/2023 11:28:23 AM,12/4/2023 3:18:35 PM,3.84,230.40,46.70,12.20,0.00,0.00,0.00,0.00,0.00,0.00,58.90,171.50,1083.34,134.470000,0.744100,0.785000,1.000000,0.584100,0.810000,39.05,176323-0,,,,,
2023-12-04,12/4/2023 9:42:36 PM,Night,JTC,24.18,23.96,Line6,JTC1359.LM,5.0,MANOJ,240,0,240,12/4/2023 9:42:36 PM,12/5/2023 12:46:40 AM,3.07,184.20,56.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.30,127.90,457.12,95.840000,0.694200,0.749900,1.000000,0.520600,0.760000,22.54,176343-0,,,,,
2023-12-04,12/5/2023 12:49:23 AM,Night,JTC,24.18,23.96,Line6,JTC1360.LM,5.0,MANOJ,247,0,247,12/5/2023 12:49:23 AM,12/5/2023 2:58:23 AM,2.15,129.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,119.00,294.82,98.640000,0.922500,0.828900,1.000000,0.764700,0.760000,24.91,176344-0,,,,,
2023-12-04,12/4/2023 3:22:15 PM,Day,JBJ/JTE,8.46,8.46,Line8,JBJ740.ZFB,6.0,RIZMAN,1172,0,1172,12/4/2023 3:22:15 PM,12/4/2023 7:58:47 PM,4.61,276.60,16.90,0.00,0.00,11.10,0.00,0.00,0.00,0.00,28.00,248.60,1880.27,165.250000,0.898700,0.665000,1.000000,0.597600,0.810000,47.16,176346-0,,,,,
2023-12-04,12/4/2023 9:03:55 AM,Day,JTC,900.00,840.00,CNC1,J51924HG.S,1.0,HAFIFI,51,0,51,12/4/2023 9:03:55 AM,12/4/2023 7:57:46 PM,10.90,654.00,81.40,0.00,0.00,43.30,0.00,0.00,0.00,0.00,124.70,529.30,40.72,714.000000,0.809300,1.000000,1.000000,0.809300,0.800000,5.78,176248-1,,,,,
2023-12-04,12/4/2023 8:17:38 AM,Day,JTC,24.82,24.82,Line6,JTC1001,5.0,SHANKAR,97,0,97,12/4/2023 8:17:38 AM,12/4/2023 9:18:54 AM,1.02,61.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.20,147.95,40.130000,1.000000,0.654600,1.000000,0.654600,0.760000,18.99,176239-0,,,,,
2023-12-04,12/4/2023 8:12:37 PM,Night,JTC,29.95,29.95,Line6,JTC1072,5.0,MANOJ,43,0,43,12/4/2023 8:12:37 PM,12/4/2023 8:53:37 PM,0.68,40.80,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,3.80,37.00,74.52,21.460000,0.907300,0.577000,1.000000,0.523500,0.760000,13.87,176292-0,,,,,
2023-12-04,12/4/2023 9:25:47 AM,Day,JTC,30.22,26.06,Line6,JTC1222,4.0,SHANKAR,499,0,499,12/4/2023 9:25:47 AM,12/4/2023 3:37:31 PM,6.19,371.40,82.40,2.30,0.00,22.00,0.00,0.00,0.00,0.00,106.70,264.70,689.70,216.730000,0.712900,0.817900,1.000000,0.583100,0.760000,28.25,176293-0,,,,,
2023-12-04,12/4/2023 3:20:38 PM,Day,JTC,35.17,35.17,Line5,JTC2792.ZFB,4.0,SHANKAR,71,0,71,12/4/2023 3:20:38 PM,12/4/2023 4:20:02 PM,0.99,59.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.40,101.34,41.620000,1.000000,0.700600,1.000000,0.700600,0.760000,17.93,176339-0,,,,,
2023-12-04,12/4/2023 6:41:52 PM,Day,JTC,38.73,38.72,Line5,JTC2794.ZFB,5.0,SHANKAR,90,0,90,12/4/2023 6:41:52 PM,12/4/2023 7:57:25 PM,1.26,75.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.60,117.12,58.080000,1.000000,0.768300,1.000000,0.768300,0.760000,14.29,176340-1,,,,,
2023-12-04,12/4/2023 8:07:35 PM,Night,JTC,32.28,32.27,Line5,JTC2794.ZFB,6.0,KAMIL,718,0,718,12/4/2023 8:07:35 PM,12/5/2023 8:01:29 AM,11.90,714.00,86.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.40,627.60,1327.33,386.160000,0.879000,0.615400,1.000000,0.540900,0.760000,11.44,176340-2,,,,,
2023-12-04,12/4/2023 9:22:35 AM,Day,JBJ/JTE,11.80,11.80,Line2,JTE707,6.0,RIZMAN,424,0,424,12/4/2023 9:22:35 AM,12/4/2023 11:34:54 AM,2.20,132.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,112.00,670.96,83.390000,0.848800,0.742500,1.000000,0.630200,0.810000,37.76,176183-1,,,,,
2023-12-04,12/4/2023 12:58:09 PM,Day,JTC,46.04,30.68,Line11,JTC1245,4.0,SHANKAR,124,0,124,12/4/2023 12:58:09 PM,12/4/2023 2:51:01 PM,1.88,112.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.80,147.02,63.410000,1.000000,0.561600,1.000000,0.561600,0.760000,16.47,176191-1,,,,,
2023-12-04,12/4/2023 4:26:57 PM,Day,JTC,46.04,30.68,Line11,JTC1245,4.0,SHANKAR,129,0,129,12/4/2023 4:26:57 PM,12/4/2023 6:25:03 PM,1.97,118.20,17.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,100.90,154.05,65.960000,0.853500,0.654400,1.000000,0.558500,0.760000,19.20,176191-2,,,,,
2023-12-04,12/4/2023 3:44:31 PM,Day,JTC,30.22,26.06,Line6,JTC1467,4.0,SHANKAR,143,0,143,12/4/2023 3:44:31 PM,12/4/2023 5:13:33 PM,1.48,88.80,0.00,0.00,0.00,6.50,0.00,0.00,0.00,0.00,6.50,82.30,164.39,62.110000,0.927000,0.752800,1.000000,0.697800,0.760000,26.00,176192-0,,,,,
2023-12-04,12/5/2023 3:21:38 AM,Night,JTC,46.04,30.68,Line11,JTC2215,4.0,MANOJ,127,0,127,12/5/2023 3:21:38 AM,12/5/2023 5:23:24 AM,2.03,121.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.80,158.75,64.940000,1.000000,0.533200,1.000000,0.533200,0.760000,15.64,176210-0,,,,,
